,state,25%,50%,75%,count,max,mean,min,std,pmt_var,var,year,filetype,method
0,ME,224.89733661856155,255.38225215644567,298.7002245066761,49643.0,3679.16004765687,308.04213224202147,7.697662854301343,228.86122016164398,PER_DIEM_wage_adj,52377.458093876485,2018,taf,allowed_amount
0,MI,184.96,209.57,228.92,319372.0,1059.6,219.18268238918884,59.22,89.65247452996374,PER_DIEM,8037.566189345797,2018,taf,allowed_amount
0,MI,200.7828226347573,227.3987922165064,255.02437864193126,325370.0,1116.3079168186794,242.13131349914744,53.73865698729582,99.69183095829776,PER_DIEM_wage_adj,9938.461159817816,2018,taf,allowed_amount
0,MN,224.82,258.29,296.15,162747.0,2203.6,298.5903248600589,142.17,225.51676626729812,PER_DIEM,50857.81186765918,2018,taf,allowed_amount
0,MN,218.832491806183,257.4895916378776,300.5796370967742,173008.0,2786.8976855950423,297.1474107865457,114.26138467234358,221.7632719247234,PER_DIEM_wage_adj,49178.948774758814,2018,taf,allowed_amount
0,MO,149.76,155.81,162.84,551206.0,2415.05,162.26137347924367,25.91,49.416398973842334,PER_DIEM,2441.980487541966,2018,taf,allowed_amount
0,MO,172.31467473524964,183.8466076696165,196.94233002193266,563550.0,3115.7915107728036,190.74531436700752,27.25933719095213,58.58380027517931,PER_DIEM_wage_adj,3432.061654682099,2018,taf,allowed_amount
0,MS,192.9,208.09,229.78,288300.0,1720.73,223.30859236906,32.34,63.11008788183912,PER_DIEM,3982.883192453457,2018,taf,allowed_amount
0,MS,250.30266343825667,268.7174000267487,301.63167045606525,287474.0,2112.880648330059,288.9340694941215,39.71021611001965,80.3484320063437,PER_DIEM_wage_adj,6455.870525878037,2018,taf,allowed_amount
0,MT,181.54,199.56,203.43,52988.0,785.0,214.64974352683626,26.92,80.5185855551203,PER_DIEM,6483.242619797226,2018,taf,allowed_amount
0,MT,203.7885561019222,223.36835046937864,232.01455206912232,50241.0,1065.3710247349823,240.3380465895113,30.60482037289677,89.31081725461856,PER_DIEM_wage_adj,7976.42207868787,2018,taf,allowed_amount
0,NC,172.72,182.36,190.45,752411.0,1255.0,191.61440284631672,26.74,48.51882198938059,PER_DIEM,2354.0760872372016,2018,taf,allowed_amount
0,NC,198.1229773462783,214.52611896692764,232.50352880790453,742540.0,689.0799435390735,225.922088187085,27.310795628638544,59.95983565553785,PER_DIEM_wage_adj,3595.181891839108,2018,taf,allowed_amount
0,ND,238.53,284.07,345.86,44073.0,2736.32,331.5321099085608,176.54,214.34310843890577,PER_DIEM,45942.968135252515,2018,taf,allowed_amount
0,ND,284.4506048387097,341.5073365940418,411.7837519623233,56973.0,3469.84529546031,397.14004196202114,156.38231907166266,265.9764074750905,PER_DIEM_wage_adj,70743.44933335538,2018,taf,allowed_amount
0,NE,43.41,101.26,159.09,111961.0,1368.75,99.83489411491502,1.42,67.38600862320975,PER_DIEM,4540.8741581672975,2018,taf,allowed_amount
0,NE,47.168813654412375,111.58252015273654,174.44570135746608,112887.0,1408.7587484561548,109.67696377494966,1.0568621613575468,75.05882970232784,PER_DIEM_wage_adj,5633.827916283053,2018,taf,allowed_amount
0,NH,124.08,162.76,171.77,87223.0,1068.38,143.96857445857168,28.02,60.5494219417274,PER_DIEM,3666.23249747734,2018,taf,allowed_amount
0,NH,125.05543237250555,158.22414835718607,170.87280790163274,93452.0,1005.2502822732406,142.17970704681935,26.815957847196085,61.008221255346214,PER_DIEM_wage_adj,3722.0030607412773,2018,taf,allowed_amount
0,NJ,206.23,216.3,232.34,151769.0,2600.74,338.5942054701553,167.79,311.11708519695287,PER_DIEM,96793.84070144802,2018,taf,allowed_amount
0,NJ,167.5386919620569,183.1250976104951,199.13438838856345,134621.0,3297.920365204159,238.33810044555045,131.0245197563642,225.8725311678513,PER_DIEM_wage_adj,51018.40033617196,2018,taf,allowed_amount
0,NM,285.2,328.04,404.16,9309.0,1529.64,354.77337415404446,121.29,117.12983000545857,PER_DIEM,13719.397077107624,2018,taf,allowed_amount
0,NM,314.68853232656915,372.23926380368096,485.85134539038376,5236.0,1686.8548742831936,409.11729445844446,143.09815950920245,124.69287945960836,PER_DIEM_wage_adj,15548.314187928423,2018,taf,allowed_amount
0,NV,124.95,131.63,236.43,76526.0,1929.83,189.1078830724198,26.96,111.15957395344874,PER_DIEM,12356.45088151224,2018,taf,allowed_amount
0,NV,104.8112207453315,113.60189186985241,209.8263067764821,80685.0,1573.7013781293322,178.1153322997307,20.735337898183985,108.89285222848505,PER_DIEM_wage_adj,11857.653266454681,2018,taf,allowed_amount
